Titles,List of Authors,Citations,PMIDs,Abstract Snippets
"
              
                Longitudinal homogenization of the microbiome between both occupants and the built environment in a cohort of United States Air Force Cadets.
              
            ","Sharma A, Richardson M, Cralle L, Stamper CE, Maestre JP, Stearns-Yoder KA, Postolache TT, Bates KL, Kinney KA, Brenner LA, Lowry CA, Gilbert JA, Hoisington AJ.",Microbiome. 2019 May 2;7(1):70. doi: 10.1186/s40168-019-0686-6.,31046835,"
              Cohabitation was significantly associated with increased skin microbiota similarity but did not significantly influence the gut microbiota. Following a departure from the occupied space of several weeks, the skin microbiota, but not the gut m …
            "
"
              
                Markers of intestinal barrier damage in patients with chronic insomnia disorder.
              
            ","Cai Y, Gong D, Xiang T, Zhang X, Pan J.",Front Psychiatry. 2024 Mar 28;15:1373462. doi: 10.3389/fpsyt.2024.1373462. eCollection 2024.,38606411,"
              Prior research has unequivocally demonstrated variations in the diversity and abundance of gut microbiota among individuals with insomnia disorder. ...
            "
"
              
                Regulation of Sacha Inchi protein on fecal metabolism and intestinal microorganisms in mice.
              
            ","Wu K, Gong W, Lin S, Huang S, Mu H, Wang M, Sheng J, Zhao C.",Front Nutr. 2024 Mar 8;11:1354486. doi: 10.3389/fnut.2024.1354486. eCollection 2024.,38524850,"
              This study aimed to investigate the impact of SIP on mouse metabolomics and gut microbiota diversity and explore the underlying pathways responsible for its health benefits. ...DISCUSSION: In conclusion, SIP is a high-quality plant protein with great p …
            "
"
              
                A metagenomics study reveals the gut microbiome as a sex-specific modulator of healthy aging in Hainan centenarians.
              
            ","Luan Z, Fu S, Qi S, Li C, Chen J, Zhao Y, Zhang H, Wu J, Zhao Z, Zhang J, Chen Y, Zhang W, Jing Y, Wang S, Sun G.",Exp Gerontol. 2024 Feb;186:112356. doi: 10.1016/j.exger.2023.112356. Epub 2024 Jan 13.,38185288,"
              In this study, we aimed to clarify the influences and contributions of sex on the gut microbiome in healthy centenarians and to explore the different roles played by the gut microbiome in healthy aging between the sexes. ...In contrast to men, the spec …
            "
"
              
                Association of maternal prenatal psychological stressors and distress with maternal and early infant faecal bacterial profile.
              
            ","Naudé PJW, Claassen-Weitz S, Gardner-Lubbe S, Botha G, Kaba M, Zar HJ, Nicol MP, Stein DJ.",Acta Neuropsychiatr. 2020 Feb;32(1):32-42. doi: 10.1017/neu.2019.43. Epub 2019 Dec 20.,31753055,"
              OBJECTIVE: Findings from animal studies indicate that the early gut bacteriome is a potential mechanism linking maternal prenatal stress with health trajectories in offspring. ...These findings may provide insights in the involvement of the gut bacteria linki …
            "
"
              
                Effectiveness of Yi-Zhi-An-Shen granules on cognition and sleep quality in older adults with amnestic mild cognitive impairment: protocol for a randomized, double-blind, placebo-controlled trial.
              
            ","Yue S, He T, Li B, Qu Y, Peng H, Chen J, Lei M, Chen C, Wu W.",Trials. 2019 Aug 20;20(1):518. doi: 10.1186/s13063-019-3607-x.,31429790,"
              According to the theory of traditional Chinese medicine, Yi-Zhi-An-Shen is an herbal compound which may ameliorate forgetfulness and sleep disorders. As growing evidence indicates that the gut microbiome is associated with major mental symptoms, a hypothesis …
            "
"
              
                A role of the subdiaphragmatic vagus nerve in depression-like phenotypes in mice after fecal microbiota transplantation from Chrna7 knock-out mice with depression-like phenotypes.
              
            ","Pu Y, Tan Y, Qu Y, Chang L, Wang S, Wei Y, Wang X, Hashimoto K.",Brain Behav Immun. 2021 May;94:318-326. doi: 10.1016/j.bbi.2020.12.032. Epub 2021 Jan 8.,33422641,"
              Chrna7 KO mice with depression-like phenotypes show an abnormal gut microbiota composition, although the alpha diversity and beta diversity were not altered. ...These data suggest that FMT from Chrna7 KO mice produce depression-like phenotypes in ABX-t …
            "
"
              
                Longitudinal Influence of Prescribed Antidepressants on Fecal and Oral Microbiomes Among Veterans With Major Depressive Disorder.
              
            ","Hoisington AJ, Stearns-Yoder KA, Stamper CE, Simonetti JA, Oslin DW, Brenner LA.",J Neuropsychiatry Clin Neurosci. 2024 Spring;36(2):151-159. doi: 10.1176/appi.neuropsych.20220221. Epub 2024 Jan 23.,38258376,"
              Targeted genomic sequencing of the microbiome samples was used to analyze changes in taxonomy and diversity across participants, medications, and medication class. ...Likewise, the composition of the oral microbiome was variable, with individual participants …
            "
"
              
                Microbial composition, functionality, and stress resilience or susceptibility: unraveling sex-specific patterns.
              
            ","Tanelian A, Nankova B, Miari M, Sabban EL.",Biol Sex Differ. 2024 Feb 26;15(1):20. doi: 10.1186/s13293-024-00590-7.,38409102,"
              The factors influencing sex-related disparities in affective disorders as well as variations in resilience remain unclear; however, emerging evidence suggests differences in the gut microbiota play a role. In this study, using the single prolonged stress (SPS) model …
            "
"
              
                Impact of chronic exposure to trichlorfon on intestinal barrier, oxidative stress, inflammatory response and intestinal microbiome in common carp (Cyprinus carpio L.).
              
            ","Chang X, Wang X, Feng J, Su X, Liang J, Li H, Zhang J.",Environ Pollut. 2020 Apr;259:113846. doi: 10.1016/j.envpol.2019.113846. Epub 2019 Dec 18.,31887601,"
              In addition, the results demonstrated that trichlorfon exposure could affect the microbiota community composition and decreased the community diversity in the gut of common carp. ...In summary, the findings of this study indicate that exposure to different co …
            "
"
              
                Effects of Immunization With the Soil-Derived Bacterium Mycobacterium vaccae on Stress Coping Behaviors and Cognitive Performance in a ""Two Hit"" Stressor Model.
              
            ","Foxx CL, Heinze JD, González A, Vargas F, Baratta MV, Elsayed AI, Stewart JR, Loupy KM, Arnold MR, Flux MC, Sago SA, Siebler PH, Milton LN, Lieb MW, Hassell JE, Smith DG, Lee KAK, Appiah SA, Schaefer EJ, Panitchpakdi M, Sikora NC, Weldon KC, Stamper CE, Schmidt D, Duggan DA, Mengesha YM, Ogbaselassie M, Nguyen KT, Gates CA, Schnabel K, Tran L, Jones JD, Vitaterna MH, Turek FW, Fleshner M, Dorrestein PC, Knight R, Wright KP, Lowry CA.",Front Physiol. 2021 Jan 5;11:524833. doi: 10.3389/fphys.2020.524833. eCollection 2020.,33469429,"
              In the object location memory test, exposure to SD increased cognitive function in CDR mice previously immunized with M. vaccae. Immunization with M. vaccae stabilized the gut microbiome, attenuating CDR-induced reductions in alpha diversity and decreasing wi …
            "
"
              
                [Effects of Bupleurum chinense on the diversity of intestinal flora in depressed mice].
              
            ","Cai SB, Zhou HY, Ji XY, Zhang QL, Deng XY, Wang F, Li YH, Lin LB.",Zhongguo Zhong Yao Za Zhi. 2021 Aug;46(16):4222-4229. doi: 10.19540/j.cnki.cjcmm.20210524.703.,34467736,"
              The present study aimed to investigate the effects of Bupleurum chinense(one of the original materials of Bupleuri Radix) on the behaviors and the diversity of intestinal flora of depressed mice. A depression mouse model was induced by repeated social defeat stress. ...The …
            "
"
              
                Cucurbitacin E Alleviates Colonic Barrier Function Impairment and Inflammation Response and Improves Microbial Composition on Experimental Colitis Models.
              
            ","Zhan F, Song W, Fan Y, Wang F, Wang Q.",J Inflamm Res. 2024 May 6;17:2745-2756. doi: 10.2147/JIR.S456353. eCollection 2024.,38737108,"
              Intestinal tight junction and inflammatory response were determined. 16S rRNA and transcriptome sequencing were performed to analyze gut microbiota composition and gene expression, respectively. RESULTS: We found that cucurbitacin E alleviated DSS-induced body weigh …
            "
"
              
                The effect of COVID-19 lockdown on mental health, gut microbiota composition and serum cortisol levels.
              
            ","Šik Novak K, Bogataj Jontez N, Kenig S, Hladnik M, Baruca Arbeiter A, Bandelj D, Černelič Bizjak M, Petelin A, Mohorko N, Jenko Pražnikar Z.",Stress. 2022 Jan;25(1):246-257. doi: 10.1080/10253890.2022.2082280.,35713539,"
              The aim of this study was to assess changes in mental health, gut microbiota composition, and stress marker serum cortisol due to COVID-19 lockdown in asymptomatic individuals. ...Despite a small sample size and not being able to perform objective meas …
            "
"
              
                Associations Between the Gut Microbiota and Internalizing Behaviors in Preschool Children.
              
            ","van de Wouw M, Wang Y, Workentine ML, Vaghef-Mehrabani E, Dewey D, Reimer RA, Tomfohr-Madsen L, Giesbrecht GF.",Psychosom Med. 2022 Feb-Mar 01;84(2):159-169. doi: 10.1097/PSY.0000000000001026.,34654024,"
              OBJECTIVE: Emerging evidence points toward a connection between mental health and the gut microbiota and its metabolites (e.g., short-chain fatty acids). It is unknown whether the gut microbiota is associated with the development of me …
            "
"
              
                Gut-derived bacterial LPS attenuates incubation of methamphetamine craving via modulating microglia.
              
            ","Yu Z, Chen W, Zhang L, Chen Y, Chen W, Meng S, Lu L, Han Y, Shi J.",Brain Behav Immun. 2023 Jul;111:101-115. doi: 10.1016/j.bbi.2023.03.027. Epub 2023 Mar 31.,37004759,"
              BACKGROUND: The microbiota-gut-brain axis plays a critical role in the pathophysiology of neuropsychiatric disorders, and the compositions of gut microbiota are altered by addictive drugs. However, the role of gut microbiota in the incuba …
            "
"
              
                The microbiota-gut-brain axis: neurobehavioral correlates, health and sociality.
              
            ","Montiel-Castro AJ, González-Cervantes RM, Bravo-Ruiseco G, Pacheco-López G.",Front Integr Neurosci. 2013 Oct 7;7:70. doi: 10.3389/fnint.2013.00070.,24109440,"
              Human microbiota is a diverse and dynamic ecosystem, which has evolved in a mutualistic relationship with its host. ...It is now evident that the bidirectional signaling between the gastrointestinal tract and the brain, mainly through the vagus nerve, the so …
            "
"
              
                Altered gut microbiota and mucosal immunity in patients with schizophrenia.
              
            ","Xu R, Wu B, Liang J, He F, Gu W, Li K, Luo Y, Chen J, Gao Y, Wu Z, Wang Y, Zhou W, Wang M.",Brain Behav Immun. 2020 Mar;85:120-127. doi: 10.1016/j.bbi.2019.06.039. Epub 2019 Jun 27.,31255682,"
              Shotgun metagenomic sequencing and 16S rRNA sequencing were performed, and the gut microbiota-associated epitopes (MEs) were predicted, which, together with IgA content, were used to determine the gut microbiota composition associated with gut i …
            "
"
              
                The association between oral and gut microbiota in male patients with alcohol dependence.
              
            ","Hu L, Ni Z, Zhao K, Li X, Gao X, Kang Y, Yu Z, Qin Y, Zhao J, Peng W, Lu L, Sun H.",Front Microbiol. 2023 Jul 28;14:1203678. doi: 10.3389/fmicb.2023.1203678. eCollection 2023.,37577447,"
              INTRODUCTION: The relationship between oral and gut microbiota in alcohol dependence (AD) is not well understood, particularly the effects of oral microbiota on the intestinal microbiota. The current study aimed to explore the association between oral …
            "
"
              
                Microbes and mental health: Can the microbiome help explain clinical heterogeneity in psychiatry?
              
            ","Hayes CL, Peters BJ, Foster JA.",Front Neuroendocrinol. 2020 Jul;58:100849. doi: 10.1016/j.yfrne.2020.100849. Epub 2020 Jun 1.,32497560,"
              Trillions of microbes cover the surfaces of our bodies and inhabit our gastrointestinal tract. In the past decade, research efforts examining the role of the microbiome in mental health have moved to the forefront of neuroscience and psychiatry. ...Thi …
            "
"
              
                Correlation between Gut Microbiota and Six Facets of Neuroticism in Korean Adults.
              
            ","Park E, Yun KE, Kim MH, Kim J, Chang Y, Ryu S, Kim HL, Kim HN, Jung SC.",J Pers Med. 2021 Nov 24;11(12):1246. doi: 10.3390/jpm11121246.,34945718,"
              A person high in neuroticism is more likely to experience anxiety, stress, worry, fear, anger, and depression. Previous studies have shown that the gut microbiota can influence personality and mental disorders, including stress, anxiety, and depression, throu …
            "
"
              
                You've got male: Sex and the microbiota-gut-brain axis across the lifespan.
              
            ","Jaggar M, Rea K, Spichak S, Dinan TG, Cryan JF.",Front Neuroendocrinol. 2020 Jan;56:100815. doi: 10.1016/j.yfrne.2019.100815. Epub 2019 Dec 2.,31805290,"
              There is a growing emphasis on the role of gastrointestinal microbiota in the maintenance of mental health and their role in the pathogenesis of disease. In this review, we introduce mechanisms by which gastrointestinal microbiota are tho …
            "
"
              
                Involvement of Gut Microbiota in Schizophrenia and Treatment Resistance to Antipsychotics.
              
            ","Manchia M, Fontana A, Panebianco C, Paribello P, Arzedi C, Cossu E, Garzilli M, Montis MA, Mura A, Pisanu C, Congiu D, Copetti M, Pinna F, Pazienza V, Squassina A, Carpiniello B.",Biomedicines. 2021 Jul 23;9(8):875. doi: 10.3390/biomedicines9080875.,34440078,"
              The gut microbiota is constituted by more than 40,000 bacterial species involved in key processes including high order brain functions. ...Similar findings were observed also depending on treatment response and exposure to diverse classes of antipsychotics. O …
            "
"
              
                Drugs, Guts, Brains, but Not Rock and Roll: The Need to Consider the Role of Gut Microbiota in Contemporary Mental Health and Wellness of Emerging Adults.
              
            ","Lee JE, Walton D, O'Connor CP, Wammes M, Burton JP, Osuch EA.",Int J Mol Sci. 2022 Jun 14;23(12):6643. doi: 10.3390/ijms23126643.,35743087,"
              Recent findings also suggest that a natural perturbation of the gut microbiota (GM), combined with other factors, may create a unique vulnerability during this period of life. The GM of emerging adults is thought to be simpler, less diverse, and more unstable …
            "
"
              
                Exploring the gut microbiota: lifestyle choices, disease associations, and personal genomics.
              
            ","Pedroza Matute S, Iyavoo S.",Front Nutr. 2023 Oct 5;10:1225120. doi: 10.3389/fnut.2023.1225120. eCollection 2023.,37867494,"
              The gut microbiota is a rich and dynamic ecosystem that actively interacts with the human body, playing a significant role in the state of health and disease of the host. Diet, exercise, mental health, and other factors have exhibited the abilit …
            "
"
              
                Microbiota and gut-brain axis dysfunction in autism spectrum disorder: Evidence for functional gastrointestinal disorders.
              
            ","Lasheras I, Seral P, Latorre E, Barroso E, Gracia-García P, Santabárbara J.",Asian J Psychiatr. 2020 Jan;47:101874. doi: 10.1016/j.ajp.2019.101874. Epub 2019 Nov 12.,31785441,"
              INTRODUCTION: The high frequency of functional gastrointestinal disorders (FGIDs) in autism spectrum disorders (ASD) has drawn attention to the composition of gut microbiota as a possible factor in ASD pathogenesis. ...However, studies analyzing gut …
            "
"
              
                Mind, Mood and Microbiota-Gut-Brain Axis in Psychiatric Disorders.
              
            ","Toader C, Dobrin N, Costea D, Glavan LA, Covache-Busuioc RA, Dumitrascu DI, Bratu BG, Costin HP, Ciurea AV.",Int J Mol Sci. 2024 Mar 15;25(6):3340. doi: 10.3390/ijms25063340.,38542314,"
              In the quest to discover novel therapies and expand the boundaries of neuropharmacology, studies from the field have highlighted the gut microbiota's role in modulating these disorders. These alterations may influence the brain's processes through the brain-gut …
            "
"
              
                The Importance of Diet and Gut Health to the Treatment and Prevention of Mental Disorders.
              
            ","Dawson SL, Dash SR, Jacka FN.",Int Rev Neurobiol. 2016;131:325-346. doi: 10.1016/bs.irn.2016.08.009. Epub 2016 Sep 28.,27793225,"
              The gut microbiota has been proposed as a key mediator of this link, given its association with both diet and mental health. ...Improving diet quality and subsequent gut health may have benefits for individuals' mental health …
            "
"
              
                Gut microbiome in serious mental illnesses: A systematic review and critical evaluation.
              
            ","Nguyen TT, Hathaway H, Kosciolek T, Knight R, Jeste DV.",Schizophr Res. 2021 Aug;234:24-40. doi: 10.1016/j.schres.2019.08.026. Epub 2019 Sep 5.,31495702,"
              Humans harbor over 1000 unique bacterial species in our gut, which have been linked to both physical and mental/cognitive health. ...Building upon our previous work, this systematic review evaluates the most recent evidence of the gut microbiome …
            "
"
              
                Gut instincts: microbiota as a key regulator of brain development, ageing and neurodegeneration.
              
            ","Dinan TG, Cryan JF.",J Physiol. 2017 Jan 15;595(2):489-503. doi: 10.1113/JP273106. Epub 2016 Dec 4.,27641441,"
              The importance of early life gut microbiota in shaping future health outcomes is also emerging. ...At the other extreme of life, ageing is associated with a narrowing in microbial diversity and healthy ageing correlates with a diverse microbi …
            "
"
              
                Gut Bacteria and Neuropsychiatric Disorders.
              
            ","Dicks LMT, Hurn D, Hermanus D.",Microorganisms. 2021 Dec 14;9(12):2583. doi: 10.3390/microorganisms9122583.,34946184,"
              Less papers have been published on the role gut microbiota play in mood, cognitive behavior and neuropsychiatric disorders such as autism, depression and schizophrenia. Whether we will be able to fully decipher the connection between gut microbiota and …
            "
"
              
                The Effects of Walnuts and Academic Stress on Mental Health, General Well-Being and the Gut Microbiota in a Sample of University Students: A Randomised Clinical Trial.
              
            ","Herselman MF, Bailey S, Deo P, Zhou XF, Gunn KM, Bobrovskaya L.",Nutrients. 2022 Nov 11;14(22):4776. doi: 10.3390/nu14224776.,36432461,"
              An interplay between stress and diet exists, with stress influencing food choices. Nutritional interventions may be effective in preventing mental health decline due to complex bidirectional interactions between the brain, the gut and the gut microb …
            "
"
              
                Gut microbiota and its relation to inflammation in patients with bipolar depression: a cross-sectional study.
              
            ","Huang T, Shang Y, Dai C, Zhang Q, Hu S, Xie J.",Ann Gen Psychiatry. 2023 May 19;22(1):21. doi: 10.1186/s12991-023-00453-2.,37208752,"
              BACKGROUND: To explore the gut microbiota characteristics in depressed patients with bipolar disorder (BD) as well as the connection between the gut microbiota and inflammatory markers. ...RESULTS: We found the taxonomic composition of the gut …
            "
"
              
                The relationship between sleep, gut microbiota, and metabolome in patients with depression and anxiety: A secondary analysis of the observational study.
              
            ","Tanaka A, Sanada K, Miyaho K, Tachibana T, Kurokawa S, Ishii C, Noda Y, Nakajima S, Fukuda S, Mimura M, Kishimoto T, Iwanami A.",PLoS One. 2023 Dec 20;18(12):e0296047. doi: 10.1371/journal.pone.0296047. eCollection 2023.,38117827,"
              BACKGROUND: Growing attention is paid to the association between alterations in the gut microbiota and their metabolites in patients with psychiatric disorders. ...Further studies are needed to elucidate the impact of sleep on specific gut microbiota a …
            "
"
              
                Gut microbiota and child behavior in early puberty: does child sex play a role?
              
            ","Ou Y, Rots E, Belzer C, Smidt H, de Weerth C.",Gut Microbes. 2023 Dec;15(2):2278222. doi: 10.1080/19490976.2023.2278222. Epub 2023 Nov 9.,37943628,"
              A growing number of studies have indicated relations between the gut microbiota and mental health. However, to date, there is a scarcity of microbiota studies in community samples in early puberty. The current preregistered study (https://osf.io …
            "
"
              
                Gut microbiota analysis and its significance in vasovagal syncope in children.
              
            ","Bai W, Chen S, Tang CS, Qi JG, Cui QH, Xu M, Du JB, Jin HF.",Chin Med J (Engl). 2019 Feb;132(4):411-419. doi: 10.1097/CM9.0000000000000086.,30707176,"
              BACKGROUND: Vasovagal syncope (VVS) is common in children and greatly affect both physical and mental health. But the mechanisms have not been completely explained. This study was designed to analyze the gut microbiota in children with VVS and explore …
            "
"
              
                Altered microbiomes distinguish Alzheimer's disease from amnestic mild cognitive impairment and health in a Chinese cohort.
              
            ","Liu P, Wu L, Peng G, Han Y, Tang R, Ge J, Zhang L, Jia L, Yue S, Zhou K, Li L, Luo B, Wang B.",Brain Behav Immun. 2019 Aug;80:633-643. doi: 10.1016/j.bbi.2019.05.008. Epub 2019 May 4.,31063846,"
              In addition, Phylogenetic Investigation of Communities by Reconstruction of Unobserved States (PICRUSt) was used to predict function shift of intestinal microbiota. The Mini-Mental State Examination (MMSE), Montreal Cognitive Assessment (MoCA) or Clinical Dementia R …
            "
"
              
                Reduced anti-inflammatory gut microbiota are associated with depression and anhedonia.
              
            ","Mason BL, Li Q, Minhajuddin A, Czysz AH, Coughlin LA, Hussain SK, Koh AY, Trivedi MH.",J Affect Disord. 2020 Apr 1;266:394-401. doi: 10.1016/j.jad.2020.01.137. Epub 2020 Jan 30.,32056905,"
              INTRODUCTION: Characterise gut microbiota distributions of participants with co-occurring depression and anxiety, in those with only depression or with anxiety, and determine if gut bacteria differentially correlates with distinct clinical presentations. ...C …
            "
"
              
                The human gut microbiota and depression: widely reviewed, yet poorly understood.
              
            ","Simpson CA, Schwartz OS, Simmons JG.",J Affect Disord. 2020 Sep 1;274:73-75. doi: 10.1016/j.jad.2020.05.115. Epub 2020 May 23.,32469834,"
              BACKGROUND: A large number of existing reviews have discussed the role of the gut microbiota in affective disorders, though syntheses have been overwhelmingly narrative in their focus. ...A meta-analysis was only able to be performed on alpha diversity indice …
            "
"
              
                Gut Microbiota Changes and Their Relationship with Inflammation in Patients with Acute and Chronic Insomnia.
              
            ","Li Y, Zhang B, Zhou Y, Wang D, Liu X, Li L, Wang T, Zhang Y, Jiang M, Tang H, Amsel LV, Fan F, Hoven CW.",Nat Sci Sleep. 2020 Nov 5;12:895-905. doi: 10.2147/NSS.S271927. eCollection 2020.,33177907,"
              This study also evaluated the relationship between gut microbiota changes and increased inflammatory cytokines in insomnia patients. ...CONCLUSION: These findings suggest that insomnia symptomology, gut microbiota, and inflammation may be interrelated …
            "
"
              
                The gut microbiota and inflammatory noncommunicable diseases: associations and potentials for gut microbiota therapies.
              
            ","West CE, Renz H, Jenmalm MC, Kozyrskyj AL, Allen KJ, Vuillermin P, Prescott SL; in-FLAME Microbiome Interest Group.",J Allergy Clin Immunol. 2015 Jan;135(1):3-13; quiz 14. doi: 10.1016/j.jaci.2014.11.012.,25567038,"
              Rapid environmental transition and modern lifestyles are likely driving changes in the biodiversity of the human gut microbiota. With clear effects on physiologic, immunologic, and metabolic processes in human health, aberrations in the gut microbio …
            "
"
              
                Gut Microbiome Diversity and Composition Are Associated with Habitual Dairy Intakes: A Cross-Sectional Study in Men.
              
            ","Aslam H, Collier F, Davis JA, Quinn TP, O'Hely M, Pasco JA, Jacka FN, Loughman A.",J Nutr. 2021 Nov 2;151(11):3400-3412. doi: 10.1093/jn/nxab252.,34386821,"
              BACKGROUND: At a population level, the relation between dairy consumption and gut microbiome composition is poorly understood. OBJECTIVES: We sought to study the cross-sectional associations between individual dairy foods (i.e., milk, yogurt, and cheese), as well as …
            "
"
              
                Obesity and mental health improvement following nutritional education focusing on gut microbiota composition in Japanese women: a randomised controlled trial.
              
            ","Uemura M, Hayashi F, Ishioka K, Ihara K, Yasuda K, Okazaki K, Omata J, Suzutani T, Hirakawa Y, Chiang C, Aoyama A, Ohira T.",Eur J Nutr. 2019 Dec;58(8):3291-3302. doi: 10.1007/s00394-018-1873-0. Epub 2018 Dec 6.,30523432,"
              PURPOSE: Gut microbiota composition was supposedly related to obesity and psychological factors. ...Body weight, height, waist circumference, food frequency, and gut microbiota composition were measured, and self-rated health and psychological f …
            "
"
              
                Disordered gut microbiota and changes in short-chain fatty acids and inflammatory processes in stress-vulnerable mice.
              
            ","Han W, Zheng Y, Wang L, An C.",J Neuroimmunol. 2023 Oct 15;383:578172. doi: 10.1016/j.jneuroim.2023.578172. Epub 2023 Aug 5.,37659269,"
              Inflammation has been identified as a putative mechanism promoting stress vulnerability. Because of the gut microbiota's potential role as a source of inflammatory substances, short-chain fatty acids (SCFAs) may exert their influence on inflammation, emotional state …
            "
"
              
                Abnormal gut microbiota and bile acids in patients with first-episode major depressive disorder and correlation analysis.
              
            ","Sun N, Zhang J, Wang J, Liu Z, Wang X, Kang P, Yang C, Liu P, Zhang K.",Psychiatry Clin Neurosci. 2022 Jul;76(7):321-328. doi: 10.1111/pcn.13368. Epub 2022 May 23.,35445772,"
              Therefore, this study analyzes gut microbiota and bile acids, as well as their correlation in patients. ...At the same time, TLCA, GLCA, and GDCA were negatively correlated with HAMD score. CONCLUSIONS: Gut microbiota and bile acids metabolism are dist …
            "
"
              
                Dysbiosis of the Gut Microbiota and Kynurenine (Kyn) Pathway Activity as Potential Biomarkers in Patients with Major Depressive Disorder.
              
            ","Lin P, Li D, Shi Y, Li Q, Guo X, Dong K, Chen Q, Lou X, Li Z, Li P, Jin W, Chen S, Sun Y, Sun J, Cheng X.",Nutrients. 2023 Apr 3;15(7):1752. doi: 10.3390/nu15071752.,37049591,"
              With increasing attention paid to the concept of the microbiota-gut-brain axis, mounting evidence reveals that the gut microbiota is involved in a variety of neurological and psychiatric diseases. However, gut microbiota changes in major …
            "
"
              
                Examining the Influence of the Human Gut Microbiota on Cognition and Stress: A Systematic Review of the Literature.
              
            ","Cooke MB, Catchlove S, Tooley KL.",Nutrients. 2022 Nov 2;14(21):4623. doi: 10.3390/nu14214623.,36364881,"
              The aim of this systematic review was to examine the relationship between the human gut microbiota, including modulators of the microbiota on cognition, brain function and/or stress, anxiety and depression. ...Despite inherit limitations in studies reviewed, …
            "
"
              
                Correlation between gut microbiota and personality in adults: A cross-sectional study.
              
            ","Kim HN, Yun Y, Ryu S, Chang Y, Kwon MJ, Cho J, Shin H, Kim HL.",Brain Behav Immun. 2018 Mar;69:374-385. doi: 10.1016/j.bbi.2017.12.012. Epub 2017 Dec 24.,29278751,"
              The diversity and the composition of the human gut microbiota exhibited significant difference when stratified by personality traits. We found that personality traits were significantly correlated with diversity of gut microbiota, while t …
            "
"
              
                Fermented foods: Harnessing their potential to modulate the microbiota-gut-brain axis for mental health.
              
            ","Balasubramanian R, Schneider E, Gunnigle E, Cotter PD, Cryan JF.",Neurosci Biobehav Rev. 2024 Mar;158:105562. doi: 10.1016/j.neubiorev.2024.105562. Epub 2024 Jan 24.,38278378,"
              Over the past two decades, whole food supplementation strategies have been leveraged to target mental health. In addition, there has been increasing attention on the ability of gut microbes, so called psychobiotics, to positively impact behaviour though the …
            "
"
              
                The Role of Gut Microbiota in the High-Risk Construct of Severe Mental Disorders: A Mini Review.
              
            ","Sani G, Manchia M, Simonetti A, Janiri D, Paribello P, Pinna F, Carpiniello B.",Front Psychiatry. 2021 Jan 12;11:585769. doi: 10.3389/fpsyt.2020.585769. eCollection 2020.,33510657,"
              Due to its demonstrated role in modulating illness and health, as well in influencing behavior, much interest has focused on the characterization of the microbiota inhabiting the gut. Several studies in animal models have shown the early modifications in the …
            "
"
              
                Composition of the Gut Microbiota in Attention Deficit Hyperactivity Disorder: A Systematic Review and Meta-Analysis.
              
            ","Wang N, Gao X, Zhang Z, Yang L.",Front Endocrinol (Lausanne). 2022 Mar 18;13:838941. doi: 10.3389/fendo.2022.838941. eCollection 2022.,35370947,"
              Meta-analysis was performed to estimate the comparison of microbiota profiles (alpha and beta diversity) and the relative abundance of gut microbiota in ADHD patients and healthy controls. ...CONCLUSIONS: Patients with ADHD had gut microbiome …
            "
"
              
                Functional hypothalamic amenorrhea: gut microbiota composition and the effects of exogenous estrogen administration.
              
            ","Notaristefano G, Ponziani FR, Ranalli M, Diterlizzi A, Policriti MA, Stella L, Del Zompo F, Fianchi F, Picca A, Petito V, Del Chierico F, Scanu M, Toto F, Putignani L, Marzetti E, Ferrarese D, Mele MC, Merola A, Tropea A, Gasbarrini A, Scambia G, Lanzone A, Apa R.",Am J Physiol Endocrinol Metab. 2024 Feb 1;326(2):E166-E177. doi: 10.1152/ajpendo.00281.2023. Epub 2023 Nov 29.,38019083,"
              We aimed to assess whether the gut microbiota composition is altered in FHA and to determine the potential impact of hormonal replacement therapy (HRT) on the gut microbiota. ...All measurements were repeated in patients with FHA after receiving HRT fo …
            "
"
              
                Maternal sleep deprivation induces gut microbial dysbiosis and neuroinflammation in offspring rats.
              
            ","Yao ZY, Li XH, Zuo L, Xiong Q, He WT, Li DX, Dong ZF.",Zool Res. 2022 May 18;43(3):380-390. doi: 10.24272/j.issn.2095-8137.2022.023.,35362675,"
              The latest research suggests that sleep deprivation (SD) disrupts the gut microbiota, leading to neuroinflammation and psychological disturbances. ...Therefore, understanding the role of gut microbiota during physiological development may provide poten …
            "
"
              
                Compositional and functional alterations in the oral and gut microbiota in patients with psychosis or schizophrenia: A systematic review.
              
            ","Murray N, Al Khalaf S, Kaulmann D, Lonergan E, Cryan JF, Clarke G, Khashan A, O'Connor K.",HRB Open Res. 2021 Sep 29;4:108. doi: 10.12688/hrbopenres.13416.1. eCollection 2021.,34870091,"
              Background: Gut and oral microbiota are intrinsically linked to human health. Recent studies suggest a direct link with mental health through bidirectional gut-brain pathways. Emerging evidence suggests that the composition and/or functio …
            "
"
              
                Impact of clozapine monotherapy on gut microbiota and metabolism in people with schizophrenia.
              
            ","Yin F, Shi Z, Ma X, Ding K, Zhang Y, Ma S.",Front Microbiol. 2023 Sep 6;14:1253156. doi: 10.3389/fmicb.2023.1253156. eCollection 2023.,37744899,"
              DATA ANALYSIS: 16s analysis technology was applied at the genus level to determine the classification of gut microbiota. Then we compared the characteristics of gut microbiota and the association of gut microbiota with glucose lipid metab …
            "
